DATE;CUSTOMER;QUANTITY
26/08/2015;NUTRAVANCE;200
27/08/2015;NUTRAVANCE;85
28/08/2015;NUTRAVANCE;40
31/08/2015;NUTRAVANCE;72
02/09/2015;NUTRAVANCE;68
03/09/2015;NUTRAVANCE;74
04/09/2015;NUTRAVANCE;88
07/09/2015;NUTRAVANCE;23
08/09/2015;NUTRAVANCE;105
09/09/2015;NUTRAVANCE;89
10/09/2015;NUTRAVANCE;103
11/09/2015;NUTRAVANCE;73
14/09/2015;NUTRAVANCE;117
16/09/2015;NUTRAVANCE;77
17/09/2015;NUTRAVANCE;129
18/09/2015;NUTRAVANCE;156
21/09/2015;NUTRAVANCE;206
22/09/2015;NUTRAVANCE;157
23/09/2015;NUTRAVANCE;152
24/09/2015;NUTRAVANCE;251
25/09/2015;NUTRAVANCE;79
28/09/2015;NUTRAVANCE;82
29/09/2015;NUTRAVANCE;185
01/10/2015;NUTRAVANCE;89
02/10/2015;NUTRAVANCE;67
03/10/2015;NUTRAVANCE;136
05/10/2015;NUTRAVANCE;4
06/10/2015;NUTRAVANCE;45
07/10/2015;NUTRAVANCE;115
08/10/2015;NUTRAVANCE;99
09/10/2015;NUTRAVANCE;41
12/10/2015;NUTRAVANCE;91
13/10/2015;NUTRAVANCE;26
14/10/2015;NUTRAVANCE;103
15/10/2015;NUTRAVANCE;144
16/10/2015;NUTRAVANCE;35
19/10/2015;NUTRAVANCE;100
21/10/2015;NUTRAVANCE;119
22/10/2015;NUTRAVANCE;44
23/10/2015;NUTRAVANCE;57
26/10/2015;NUTRAVANCE;48
27/10/2015;NUTRAVANCE;25
28/10/2015;NUTRAVANCE;91
29/10/2015;NUTRAVANCE;52
30/10/2015;NUTRAVANCE;57
03/11/2015;NUTRAVANCE;117
04/11/2015;NUTRAVANCE;80
05/11/2015;NUTRAVANCE;120
06/11/2015;NUTRAVANCE;80
09/11/2015;NUTRAVANCE;109
10/11/2015;NUTRAVANCE;64
12/11/2015;NUTRAVANCE;77
13/11/2015;NUTRAVANCE;67
16/11/2015;NUTRAVANCE;36
18/11/2015;NUTRAVANCE;89
19/11/2015;NUTRAVANCE;102
20/11/2015;NUTRAVANCE;35
23/11/2015;NUTRAVANCE;66
24/11/2015;NUTRAVANCE;50
25/11/2015;NUTRAVANCE;154
26/11/2015;NUTRAVANCE;63
27/11/2015;NUTRAVANCE;42
30/11/2015;NUTRAVANCE;55
01/12/2015;NUTRAVANCE;32
02/12/2015;NUTRAVANCE;86
03/12/2015;NUTRAVANCE;157
04/12/2015;NUTRAVANCE;70
05/12/2015;NUTRAVANCE;102
08/12/2015;NUTRAVANCE;80
09/12/2015;NUTRAVANCE;59
10/12/2015;NUTRAVANCE;69
11/12/2015;NUTRAVANCE;40
12/12/2015;NUTRAVANCE;52
15/12/2015;NUTRAVANCE;65
17/12/2015;NUTRAVANCE;167
18/12/2015;NUTRAVANCE;66
21/12/2015;NUTRAVANCE;81
22/12/2015;NUTRAVANCE;104
23/12/2015;NUTRAVANCE;117
05/01/2016;NUTRAVANCE;62
06/01/2016;NUTRAVANCE;161
07/01/2016;NUTRAVANCE;109
08/01/2016;NUTRAVANCE;25
11/01/2016;NUTRAVANCE;99
12/01/2016;NUTRAVANCE;33
13/01/2016;NUTRAVANCE;88
14/01/2016;NUTRAVANCE;65
15/01/2016;NUTRAVANCE;96
18/01/2016;NUTRAVANCE;118
19/01/2016;NUTRAVANCE;34
20/01/2016;NUTRAVANCE;168
21/01/2016;NUTRAVANCE;26
22/01/2016;NUTRAVANCE;53
25/01/2016;NUTRAVANCE;85
26/01/2016;NUTRAVANCE;28
27/01/2016;NUTRAVANCE;108
28/01/2016;NUTRAVANCE;78
29/01/2016;NUTRAVANCE;46
01/02/2016;NUTRAVANCE;130
02/02/2016;NUTRAVANCE;82
03/02/2016;NUTRAVANCE;101
04/02/2016;NUTRAVANCE;153
